,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1035260277191786496,1035260277191786496,1535660258000.0,2018-08-30 13:17:38,-0800,,"⚽️ Riviviamo i #Mondiali2018 #Russia2018 : risultati, numeri, followers e tantissime curiosità dai social network #Russia2018  ----------&gt;  https://t.co/5d50x2mn7t         #worldcup #mondiali  https://t.co/1UFa7by74o",it,"['mondiali2018', 'russia2018', 'russia2018', 'worldcup', 'mondiali']",[],3228008657,3228008657,SOCIALnetbest,SOCIALbest,4,13,https://twitter.com/SOCIALnetbest/status/1035260277191786496,['http://bit.ly/-russia2018-'],['https://pbs.twimg.com/media/Dl37qtFX4AA_6XR.jpg'],1,https://pbs.twimg.com/media/Dl37qtFX4AA_6XR.jpg,False,0,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1027276048621289472,1027276048621289472,1533756670000.0,2018-08-08 12:31:10,-0800,,"⚽️ Riviviamo i #Mondiali2018 #Russia2018 : risultati, numeri, followers e tantissime curiosità dai social network #Russia2018  ----------&gt;  https://t.co/5d50x2mn7t        #FranciaCroazia #CroaziaFrancia #worldcup #mondiali  https://t.co/HBQficZjRv",it,"['mondiali2018', 'russia2018', 'russia2018', 'franciacroazia', 'croaziafrancia', 'worldcup', 'mondiali']",[],3228008657,3228008657,SOCIALnetbest,SOCIALbest,3,12,https://twitter.com/SOCIALnetbest/status/1027276048621289472,['http://bit.ly/-russia2018-'],['https://pbs.twimg.com/tweet_video_thumb/DkGeE_cXsAEVIeS.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/DkGeE_cXsAEVIeS.jpg,False,0,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1024550297992146944,1024550297992146944,1533106800000.0,2018-08-01 00:00:00,-0800,,"⚽️ Riviviamo i #Mondiali2018 #Russia2018 : risultati, numeri, followers e curiosità dai social network #Russia2018  ----------&gt;  https://t.co/5d50x2mn7t        #FranciaCroazia 4-2 #CroaziaFrancia #CROFRA #worldcup #mondiali  #CRO #FRA #franci  https://t.co/KdKihneBoJ",it,"['mondiali2018', 'russia2018', 'russia2018', 'franciacroazia', 'croaziafrancia', 'crofra', 'worldcup', 'mondiali', 'cro', 'fra', 'franci']",[],3228008657,3228008657,SOCIALnetbest,SOCIALbest,3,00,https://twitter.com/SOCIALnetbest/status/1024550297992146944,['http://bit.ly/-russia2018-'],['https://pbs.twimg.com/media/DjeQHZiX4AAp84N.jpg'],1,https://pbs.twimg.com/media/DjeQHZiX4AAp84N.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1022467959426560000,1022467959426560000,1532610332000.0,2018-07-26 06:05:32,-0800,,"⚽️ Riviviamo i #Mondiali2018 #Russia2018 : risultati, numeri, followers e tantissime curiosità dai social network #Russia2018  ----------&gt;  https://t.co/5d50x2mn7t       #FranciaCroazia 4-2 #CroaziaFrancia #CROFRA #worldcup #mondiali  #CRO #FRA #franci  https://t.co/YXbBDNN2nn",it,"['mondiali2018', 'russia2018', 'russia2018', 'franciacroazia', 'croaziafrancia', 'crofra', 'worldcup', 'mondiali', 'cro', 'fra', 'franci']",[],3228008657,3228008657,SOCIALnetbest,SOCIALbest,4,06,https://twitter.com/SOCIALnetbest/status/1022467959426560000,['http://bit.ly/-russia2018-'],['https://pbs.twimg.com/tweet_video_thumb/DjCJLTBW4AAfpnX.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/DjCJLTBW4AAfpnX.jpg,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1021831731857514497,1021831731857514497,1532458644000.0,2018-07-24 11:57:24,-0800,,"Rivivi i  #Mondiali2018 #Russia2018  ⚽️con la Francia Campione del Mondo.  Tutti i risultati, i premi, i numeri,foto, curiosità dai social  dei Mondiali   -----&gt;  https://t.co/5d50x2mn7t              #FranciaCroazia 4-2 #CroaziaFrancia #CROFRA #worldcup    #mondiali  #CRO  https://t.co/dv93YCtpUv",it,"['mondiali2018', 'russia2018', 'franciacroazia', 'croaziafrancia', 'crofra', 'worldcup', 'mondiali', 'cro']",[],3228008657,3228008657,SOCIALnetbest,SOCIALbest,2,11,https://twitter.com/SOCIALnetbest/status/1021831731857514497,['http://bit.ly/-russia2018-'],['https://pbs.twimg.com/tweet_video_thumb/Di5Gh1lW0AAHp5i.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/Di5Gh1lW0AAHp5i.jpg,False,0,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1021348534195576832,1021348534195576832,1532343440000.0,2018-07-23 03:57:20,-0800,,"Rivivi i  #Mondiali2018 #Russia2018  ⚽️: tutti i risultati, i premi, i numeri, foto, curiosità dai social  dei Mondiali  -----&gt;  https://t.co/5d50x2mn7t                 #FranciaCroazia 4-2 #CroaziaFrancia #CROFRA #worldcup    #mondiali  #CRO  https://t.co/W13lEzTDfv",it,"['mondiali2018', 'russia2018', 'franciacroazia', 'croaziafrancia', 'crofra', 'worldcup', 'mondiali', 'cro']",[],3228008657,3228008657,SOCIALnetbest,SOCIALbest,1,03,https://twitter.com/SOCIALnetbest/status/1021348534195576832,['http://bit.ly/-russia2018-'],['https://pbs.twimg.com/tweet_video_thumb/DiyPDR-X0AAYhuy.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/DiyPDR-X0AAYhuy.jpg,False,1,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1020950410905948160,1020950410905948160,1532248520000.0,2018-07-22 01:35:20,-0800,,"Rivivi i  #Mondiali2018 #Russia2018  ⚽️: tutti i risultati, i premi, i numeri, foto, curiosità dai social  dei Mondiali  -----&gt;  https://t.co/5d50x2mn7t                #FranciaCroazia 4-2 #CroaziaFrancia #CROFRA #worldcup    #mondiali  #CRO  https://t.co/jiiF5YrOLp",it,"['mondiali2018', 'russia2018', 'franciacroazia', 'croaziafrancia', 'crofra', 'worldcup', 'mondiali', 'cro']",[],3228008657,3228008657,SOCIALnetbest,SOCIALbest,7,01,https://twitter.com/SOCIALnetbest/status/1020950410905948160,['http://bit.ly/-russia2018-'],['https://pbs.twimg.com/tweet_video_thumb/Disk-S1WAAE9YFq.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/Disk-S1WAAE9YFq.jpg,False,0,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1019707141396025344,1019707141396025344,1531952102000.0,2018-07-18 15:15:02,-0800,,"Rivivi i  #Mondiali2018 #Russia2018  ⚽️: tutti i risultati, i premi, i numeri, foto, curiosità dai social  dei Mondiali  -----&gt;  https://t.co/5d50x2mn7t               #FranciaCroazia 4-2 #CroaziaFrancia #CROFRA #worldcup    #mondiali  #CRO  https://t.co/MEqp8ygBEx",it,"['mondiali2018', 'russia2018', 'franciacroazia', 'croaziafrancia', 'crofra', 'worldcup', 'mondiali', 'cro']",[],3228008657,3228008657,SOCIALnetbest,SOCIALbest,3,15,https://twitter.com/SOCIALnetbest/status/1019707141396025344,['http://bit.ly/-russia2018-'],['https://pbs.twimg.com/tweet_video_thumb/Dia6NmdXUAEOjro.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/Dia6NmdXUAEOjro.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1019528094913323008,1019528094913323008,1531909414000.0,2018-07-18 03:23:34,-0800,,"Rivivi i  #Mondiali2018 #Russia2018  ⚽️con la Francia Campione del Mondo. Tutti i risultati, i premi, i numeri,foto, curiosità dai social  dei Mondiali   -----&gt;  https://t.co/5d50x2mn7t              #FranciaCroazia 4-2 #CroaziaFrancia #CROFRA #worldcup    #mondiali  #CRO  https://t.co/Kd5ND3HOX9",it,"['mondiali2018', 'russia2018', 'franciacroazia', 'croaziafrancia', 'crofra', 'worldcup', 'mondiali', 'cro']",[],3228008657,3228008657,SOCIALnetbest,SOCIALbest,3,03,https://twitter.com/SOCIALnetbest/status/1019528094913323008,['http://bit.ly/-russia2018-'],['https://pbs.twimg.com/tweet_video_thumb/DiYXAC-WsAEOOef.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/DiYXAC-WsAEOOef.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1019333196574576642,1019333196574576642,1531862947000.0,2018-07-17 14:29:07,-0800,,"⚽️ Dal tweet del Louvre alla scommessa tra la compagnia di trasporti francese e quella belga, da Pornhub che prende in giro Neymar all'ironia di Netflix: tutte le curiosità social dei  #Mondiali2018 #Russia2018    ----------&gt;  https://t.co/5d50x2mn7t          #worldcup #mondiali  https://t.co/wXyfUN7eN6",it,"['mondiali2018', 'russia2018', 'worldcup', 'mondiali']",[],3228008657,3228008657,SOCIALnetbest,SOCIALbest,2,14,https://twitter.com/SOCIALnetbest/status/1019333196574576642,['http://bit.ly/-russia2018-'],"['https://pbs.twimg.com/media/DiVmH_WX4AAslWO.jpg', 'https://pbs.twimg.com/media/DiVmH8JXUAAe3cS.jpg']",1,https://pbs.twimg.com/media/DiVmH_WX4AAslWO.jpg,False,0,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
10,1019237421333078017,1019237421333078017,1531840112000.0,2018-07-17 08:08:32,-0800,,"⚽️ Riviviamo i #Mondiali2018 #Russia2018 : risultati, numeri, followers e tantissime curiosità dai social network #Russia2018  ----------&gt;  https://t.co/5d50x2mn7t      #FranciaCroazia 4-2 #CroaziaFrancia #CROFRA #worldcup #mondiali  #CRO #FRA #franci  https://t.co/wWz8sLn3bd",it,"['mondiali2018', 'russia2018', 'russia2018', 'franciacroazia', 'croaziafrancia', 'crofra', 'worldcup', 'mondiali', 'cro', 'fra', 'franci']",[],3228008657,3228008657,SOCIALnetbest,SOCIALbest,2,08,https://twitter.com/SOCIALnetbest/status/1019237421333078017,['http://bit.ly/-russia2018-'],['https://pbs.twimg.com/tweet_video_thumb/DiUO_18X4AEPadP.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/DiUO_18X4AEPadP.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
