,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,created_at
44,LazyBoomers,"Personal trainer, 3d generalist, concept artisti, suono la batteria e muoio di sonno, dunque buonanotte","Earth, Solar System",168,417,8517,0,Perché ho ancora la tua lingua / Incastrata fra i miei denti,[],2017-09-29 23:33:17
45,Arnaud_AA,Triple A.,A coté de la lettre A.,738,1566,251639,0,"RT @acmilan_fra: Joyeux anniversaire à notre ballon d'or (2004), une de nos légende, Andriy Shevchenko dit Sheva ❤️⚫️ https://t.co/7Mpcdzq7…",[],2017-09-29 23:33:05
46,BabouYann,Les apparences nous mentent donc t'étonne pas quand les masques ils tombent... #JNVPQDB #Barcelonais #Congolais 🇨🇬 Insta: _don_corleonne_ Snap: le_visionnaire,,193,373,151195,0,"RT @ActuFoot_: Indice UEFA :

1️⃣ ESP🇪🇸 92.855 pts
2️⃣ ENG🇬🇧 66.462
3️⃣ ITA🇮🇹 64.916
4️⃣ ALL🇩🇪 63.998
5️⃣ FRA🇫🇷 49.248
6️⃣ RUS🇷🇺 46.382
7️⃣…",[],2017-09-29 23:33:01
47,BabouYann,Les apparences nous mentent donc t'étonne pas quand les masques ils tombent... #JNVPQDB #Barcelonais #Congolais 🇨🇬 Insta: _don_corleonne_ Snap: le_visionnaire,,193,373,151195,0,"RT @fcbarcelona_fra: 📷 @FCBarcelona &amp; @FCBFemeni
🔵🔴 Força Barça! https://t.co/JIJ4AG4VAe",[],2017-09-29 23:32:46
48,heliseth,,,26,8,60,0,"RT @politiopssbusk: Drammen. Mann, 30 år fra Drm, pågrepet for å ha slått 2 andre gjester på utested i Drammen. De fornærmede blir behandle…",[],2017-09-29 23:32:10
49,C_me_on,Senior Consultant @klenkhoursch in Frankfurt #kh #SocialMedia #photography,,1063,789,6459,0,RT @susanicolai: Schon ein bisschen stolz über diesen @DigitalC_Awards. Gewonnen mit @Airport_FRA und @klenkhoursch #issues #management #dc…,"['issues', 'management']",2017-09-29 23:31:45
50,LuceLunaPiena45,Arte e Cultura Spettacolo Artisti Italiani Cinema Editoria Tecnologia Moda & Design Arte Musica,,181,19,3538,0,"Aggiungimi
Fra i tuoi....pensieri https://t.co/cYPp4tDxCW",[],2017-09-29 23:31:21
51,SabriiFer_,deadroses~,,216,162,2166,0,"@Valenn_Fra Aww, soy lo mas ya lo se ❤ ahre jajajajaj",[],2017-09-29 23:30:56
52,PoliTweetApp,Stats: http://stats.politirunden.no Maps: http://map.politirunden.no Hjelp oss? http://mapit.politirunden.no //De vi følger er de vi RT'er. Driftes av @laabak,"Oslo, Norge",72,6451,683038,0,RT @PolitiMRpd: Molde: 2 personer bortvist fra utested i sentrum grunnet bråk og krangling.,[],2017-09-29 23:30:44
53,PolitiMRpd,Tweets frå operasjonssentralen i Møre og Romsdal politidistrikt. 112 er naudnummer - for tips og anna kontakt 02800.,"Møre og Romsdal, Norge",23,43035,23308,1,Molde: 2 personer bortvist fra utested i sentrum grunnet bråk og krangling.,[],2017-09-29 23:30:38
54,JessyR_20,971/972 || Ushy Syndicat 🧪,"Paris, France",582,852,198823,0,"RT @ActuFoot_: Indice UEFA :

1️⃣ ESP🇪🇸 92.855 pts
2️⃣ ENG🇬🇧 66.462
3️⃣ ITA🇮🇹 64.916
4️⃣ ALL🇩🇪 63.998
5️⃣ FRA🇫🇷 49.248
6️⃣ RUS🇷🇺 46.382
7️⃣…",[],2017-09-29 23:30:13
55,Djammjatningar,"https://www.facebook.com/jatningar
Sendið okkur fyndnustu, hjartnæmustu og mest sjokkerandi reynslusögurnar af næturlífi Reykjavíkur",Reykjavík,166,72,4349,0,Agalegt ástand.... https://t.co/wlEMQ2nQo6,[],2017-09-29 23:30:08
